PRE DATA
,,,1,2,3,4,,5,6,7,8
Best_PVT_AVE_PRE,,,,,,,,,,,,
Worst_PVT_AVE_PRE,,,,,,,,,,,,


POST DATA
,,,1,2,3,4,,5,6,7,8
Best_PVT_AVE_POST,,,,,,,,,,,,
Worst_PVT_AVE_POST,,,,,,,,,,,,


PRE BLOCK DATA
,,,1,,,2,,,3,,,4,,,,5,,,6,,,7,,,8,,
Best_PVT_BlockAVE_PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worst_PVT_BlockAVE_PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


POST BLOCK DATA
,,,1,,,2,,,3,,,4,,,,5,,,6,,,7,,,8,
Best_PVT_BlockAVE_POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worst_PVT_BlockAVE_POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


Best PVT Blocks Raw


Worst PVT Blocks Raw
