Best Case
3040,BestCase
Session #,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Pre PVT,0,2,2,3,0,0,5,2,0,4,2,1,5,1,2,3,0,2,2,0,2,1,1,3,2,0,4,1,2,1,3,1,0,4,1,3,1,1,5,6
Post PVT,4,5,4,4,2,5,6,6,2,1,2,5,3,1,4,3,5,3,4,4,5,3,5,5,4,2,7,2,1,2,3,3,2,4,3,3,1,3,6,1
LP_STD,0.14771012787016763,0.15475441319729374,0.17525869774619396,0.15325147999284588,0.15576088333290847,0.14232207758407933,0.15960754066385271,0.13335026607479566,0.14902963864528568,0.12950079891718116,0.13370575724850597,0.17611851893783076,0.1668290874373717,0.1738143130180131,0.19262807910300334,0.13702109519729275,0.12470889620047876,0.13189447341722535,0.15043730068874797,0.17024143733071953,0.1634534316708042,0.1605258314880934,0.185063966981533,0.17969081935018177,0.14220562596907846,0.16092158920050684,0.14257156266912585,0.1440824481498749,0.1207877855076522,0.16552302560221582,0.15938200252454293,0.15058799453870858,0.11263211592534153,0.15281038971749927,0.1827259418218988,0.13724405085902236,0.1350720802237503,0.15284768139145266,0.1694501764495529,0.12968146636039418
Steer>3,0.12457044673539519,0.0,0.0,0.0,0.0,0.07659574468085106,0.0,0.0,0.0,0.0,0.0,0.0,0.05086901229334464,0.0,0.0,0.0,0.0,0.0,0.04458314757021846,0.1427913403961308,0.03525782282944028,0.0,0.49299950542094895,0.046590427784836935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031014621178555607,0.0,0.1810774105930285,0.0,0.0,0.0,0.19581664441477525,0.030421555845284658,0.0
MPH_STD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

3086,BestCase
Session #,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Pre PVT,0,0,1,0,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Post PVT,2,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LP_STD,0.2934038444531314,0.25809358557792683,0.27136354163147003,0.30142549704801047,0.2938486501063017,0.30234003135588783,0.2606480880641187,0.2766553843485512,0.2818125125188724,0.2439510141808318,0.2276527871188712,0.24584380927687316,0.25382602776176144,0.22620559849838293,0.25137582943962444,0.23234305796002347,0.25205307304060515,0.2057727547393665,0.23949686517461685,0.2165860191377995,0.24694876773345104,0.2187617186715584,0.23571438198646227,0.22322016007530107,0.2127178922031244,0.2324202146816078,0.20885355817039536,0.22217872378468528,0.21239181841743773,0.24074507765866732,0.1872218382677154,0.20547836034769476,0.20934788090461484,0.20625306356525502,0.1480696089423416,0.20142768740269307,0.1944977437630157,0.208770439328527,0.21219508419373745,0.17932175278613222
Steer>3,1.9311634865036056,0.7570145956245377,1.4375277735039318,0.2585379828873493,0.41997503121098634,0.029978586723768734,0.5038857781573924,0.0,0.9741871265730679,0.0,0.0,0.21388040157136617,1.1888138792211378,0.28801355357899194,0.0,0.675008266875384,0.0261437908496732,0.0,0.0,0.08604567480301875,0.9804231817182958,0.0,0.2561705661936819,0.0,0.20732245258050286,0.035794183445190156,0.04141739530602854,0.0,0.0,0.0,0.0,0.10879419764279238,0.0,0.0,0.0,0.0,0.0,0.03113879003558719,0.0,0.0
MPH_STD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

3206,BestCase
Session #,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Pre PVT,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,1,1,0,0,0,1,0
Post PVT,0,0,0,0,0,1,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,1,2,2,0,0,0
LP_STD,0.19692587514223034,0.19532261529586464,0.19658746976338565,0.20920777174479674,0.15371721897773644,0.17756147146147386,0.164688254278591,0.18013505342589337,0.16740553823039242,0.21781819476786782,0.20300508510096762,0.2066405760497365,0.1909939989014874,0.18691133846375846,0.20574110349979485,0.18318651944879197,0.17294229486660556,0.19056311527364062,0.1667810670513479,0.18207960883556223,0.16313054271895014,0.1624494110234474,0.17333369024935247,0.12641569618754092,0.13997336403922872,0.12102680874494212,0.1474522960002262,0.1304509300269757,0.12165668264501713,0.1466156334194626,0.13591775195325775,0.1285505255011168,0.17346396694249908,0.13533076688728377,0.1378951894673472,0.1341722610657262,0.1351485569422004,0.17021379475978995,0.15393079719349845,0.1695478568725133
Steer>3,0.0,0.0,0.0,0.3864734299516908,0.0,0.0,0.1953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02310536044362292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689497716894977,0.0,0.0,0.0
MPH_STD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

3232,BestCase
Session #,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Pre PVT,0,3,1,1,0,0,2,2,0,1,1,1,1,null,0,2,1,2,3,1,1,4,3,2,1,0,0,0,1,0,0,0,1,1,1,1,0,0,3,0
Post PVT,1,3,4,0,1,1,2,1,1,1,5,0,1,null,3,0,1,1,2,0,1,0,0,1,3,0,0,0,0,1,0,0,1,0,null,0,1,2,0,0
LP_STD,0.16817748104042568,0.17270555679589125,0.17667189190616156,0.1474597302469854,0.15297142896332225,0.14854376514633166,0.20670620238909768,0.15492351352334033,0.15866339186055786,0.13723089262702282,0.1322932731304664,0.13972021068313284,0.15410328667075485,0.1424516669784817,0.1577989782079102,0.1423482679309125,0.1369214853542256,0.11953413013337313,0.14520701968663202,0.13921763697423126,0.12690384693479723,0.14220954098599234,0.1349594897151391,0.11195191604105381,0.11303371741417019,0.12004039718600557,0.11945812277609624,0.11972812665530352,0.13456908795143865,0.11335074773201523,0.11758098523534888,0.11675845819426796,0.13907243417184728,0.1019705813215996,0.11710806251256471,0.13321440144667682,0.12288379434396421,0.10792440045145206,0.09090671871029092,0.12602730407504267
Steer>3,0.14844532808037797,0.5128205128205128,0.0,0.0,0.0,0.23655947272055472,0.29669870455495195,0.0,0.0,0.0,0.033585222502099076,0.056204063986165155,0.0,0.08812615955473098,0.0,0.0,0.01372369624885636,0.08579599618684461,0.7738369415016122,0.2582332572017977,0.0,0.008688097306689836,0.0,0.0,0.0,0.1348095609855865,0.0,0.0,0.43590850237375917,0.0,0.23105167910981822,0.0,0.4247941048981361,0.03708854891052387,0.07606263982102908,0.01823985408116735,0.04342162396873643,0.1950354609929078,0.0,0.021834061135371178
MPH_STD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

3256,BestCase
Session #,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Pre PVT,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,1,0,3,0,0,0,1,2,0,1,0,0,1,0,2,0,1,0,2,1,0,0,1,1,2
